date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:31:45	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Feb%202018%2015:31:44%20GMT	https://shopresurs.ru/robots.txt		(from )
17:31:45	17119/17119	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Feb%202018%2015:31:44%20GMT	https://shopresurs.ru/finishingtouch3/	/home/abbyz/websites/Finishing%20Touch/web/index.html	(from )
17:31:45	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%223802a22-47e-564aecd8f1188%22	https://shopresurs.ru/finishingtouch3/favicon.ico	/home/abbyz/websites/Finishing%20Touch/web/images/favicon.ico	(from https://shopresurs.ru/finishingtouch3/)
17:31:47	827/827	---MC-	200	added ('OK')	text/css	date:Tue,%2020%20Feb%202018%2015:31:46%20GMT	http://fonts.googleapis.com/css?family=Roboto+Condensed:400,300,700&subset=latin,cyrillic	/home/abbyz/websites/Finishing%20Touch/web/images/css3ab6.css	(from https://shopresurs.ru/finishingtouch3/)
17:31:48	12884/12884	---MCZ	200	added ('OK')	text/css	etag:W/%223842311-3254-564aecda3af01%22	https://shopresurs.ru/finishingtouch3/css/main.css	/home/abbyz/websites/Finishing%20Touch/web/images/main.css	(from https://shopresurs.ru/finishingtouch3/)
17:31:48	59838/59838	---M--	200	added ('OK')	image/jpeg	etag:%2238a1dfa-e9be-564aecdb068e5%22	https://shopresurs.ru/finishingtouch3/img/bg-3.jpg	/home/abbyz/websites/Finishing%20Touch/web/images/bg-3.jpg	(from https://shopresurs.ru/finishingtouch3/)
17:31:49	40908/40908	---M--	200	added ('OK')	image/jpeg	etag:%2238a1e03-9fcc-564aecdb3b893%22	https://shopresurs.ru/finishingtouch3/img/result.jpg	/home/abbyz/websites/Finishing%20Touch/web/images/result.jpg	(from https://shopresurs.ru/finishingtouch3/)
17:31:50	14242/14242	---M--	200	added ('OK')	image/jpeg	etag:%2238a1e04-37a2-564aecdb195af%22	https://shopresurs.ru/finishingtouch3/img/rew-1.jpg	/home/abbyz/websites/Finishing%20Touch/web/images/rew-1.jpg	(from https://shopresurs.ru/finishingtouch3/)
17:31:51	20676/20676	---M--	200	added ('OK')	image/jpeg	etag:%2238a1e05-50c4-564aecdb2ce31%22	https://shopresurs.ru/finishingtouch3/img/rew-2.jpg	/home/abbyz/websites/Finishing%20Touch/web/images/rew-2.jpg	(from https://shopresurs.ru/finishingtouch3/)
17:31:52	15854/15854	---M--	200	added ('OK')	image/jpeg	etag:%2238a1e06-3dee-564aecdb308ca%22	https://shopresurs.ru/finishingtouch3/img/rew-3.jpg	/home/abbyz/websites/Finishing%20Touch/web/images/rew-3.jpg	(from https://shopresurs.ru/finishingtouch3/)
